time (s), (volts), (volts), (volts)
5690.74,0.60,-0.08,0.25
5690.75,0.60,-0.06,0.28
5690.76,0.60,-0.03,0.29
5690.77,0.60,0.01,0.30
5690.78,0.60,0.06,0.30
5690.79,0.60,0.13,0.28
5690.80,0.60,0.16,0.26
5690.81,0.60,0.20,-6.99
5690.82,0.60,0.22,-8.81
5690.83,0.60,0.25,0.13
5690.84,0.60,0.27,0.06
5690.85,0.60,0.28,0.02
5690.86,0.60,0.28,-0.02
5690.87,0.60,0.28,-0.06
5690.88,0.60,0.28,-0.09
5690.89,0.60,0.27,-0.11
5690.90,0.60,0.22,-0.13
5690.91,0.60,0.21,-0.15
5690.92,0.60,0.16,-0.16
5690.93,0.60,0.12,-0.17
5690.94,0.60,0.08,-0.16
5690.95,0.60,0.04,-0.16
5690.96,0.60,0.00,-0.14
5690.97,0.60,-0.05,-0.12
5690.98,0.60,-0.10,-0.10
5690.99,0.60,-0.14,-0.07
5691.00,0.60,-0.14,-0.05
5691.01,0.60,-0.19,-0.03
5691.02,0.60,-0.19,-1.82
5691.03,0.60,-0.18,-2.45
5691.04,0.60,-0.17,0.09
5691.05,0.60,-0.16,0.19
5691.06,0.60,-0.13,0.20
5691.07,0.60,-0.09,0.25
5691.08,0.60,-0.06,0.28
5691.09,0.60,-0.04,0.29
5691.10,0.60,0.00,0.30
5691.11,0.60,0.04,0.30
5691.12,0.60,0.11,0.29
5691.13,0.60,0.15,0.27
5691.14,0.60,0.18,-1.55
5691.15,0.60,0.22,-5.21
5691.16,0.60,0.24,0.15
5691.17,0.60,0.26,0.08
5691.18,0.60,0.27,0.03
5691.19,0.60,0.28,0.00
5691.20,0.60,0.28,-0.05
5691.21,0.60,0.28,-0.09
5691.22,0.60,0.27,-0.11
5691.23,0.60,0.24,-0.12
5691.24,0.60,0.22,-0.14
5691.25,0.60,0.17,-0.16
5691.26,0.60,0.13,-0.16
5691.27,0.60,0.09,-0.16
5691.28,0.60,0.05,-0.16
5691.29,0.60,0.01,-0.14
5691.30,0.60,-0.04,-0.13
5691.31,0.60,-0.08,-0.11
5691.32,0.60,-0.12,-0.08
5691.33,0.59,-0.14,-0.05
5691.34,0.60,-0.16,-0.04
5691.35,0.60,-0.20,-0.61
5691.36,0.60,-0.19,-3.05
5691.37,0.60,-0.17,0.08
5691.38,0.60,-0.15,0.18
5691.39,0.60,-0.14,0.18
5691.40,0.60,-0.11,0.24
5691.41,0.60,-0.08,0.27
5691.42,0.60,-0.05,0.29
5691.43,0.60,-0.01,0.30
5691.44,0.60,0.03,0.31
5691.45,0.60,0.09,0.30
5691.46,0.60,0.14,0.28
5691.47,0.60,0.17,0.27
5691.48,0.60,0.20,0.22
5691.49,0.60,0.23,0.16
5691.50,0.60,0.25,0.11
5691.51,0.60,0.27,0.06
5691.52,0.60,0.27,0.01
5691.53,0.60,0.28,-0.03
5691.54,0.60,0.27,-0.07
