time (s), (volts), (volts), (volts)
5856.67,0.60,0.15,-0.09
5856.68,0.60,0.20,-0.06
5856.69,0.60,0.24,-0.03
5856.70,0.60,0.27,0.01
5856.71,0.60,0.30,0.04
5856.72,0.60,0.32,0.07
5856.73,0.60,0.34,0.10
5856.74,0.60,0.35,0.14
5856.75,0.60,0.36,0.17
5856.76,0.60,0.36,0.20
5856.77,0.60,0.35,0.23
5856.78,0.60,0.32,0.25
5856.79,0.60,0.30,0.28
5856.80,0.60,0.29,0.29
5856.81,0.60,0.27,0.31
5856.82,0.60,0.25,0.33
5856.83,0.60,0.23,0.33
5856.84,0.60,0.20,0.33
5856.85,0.60,0.17,0.33
5856.86,0.60,0.14,0.32
5856.87,0.60,0.10,0.30
5856.88,0.60,0.07,0.27
5856.89,0.60,0.03,0.24
5856.90,0.60,0.01,0.17
5856.91,0.60,-0.01,0.14
5856.92,0.60,-0.05,0.14
5856.93,0.60,-0.13,0.10
5856.94,0.60,-0.18,0.07
5856.95,0.60,-0.22,0.03
5856.96,0.60,-0.25,-0.01
5856.97,0.60,-0.25,-0.04
5856.98,0.60,-0.27,-0.07
5856.99,0.60,-0.28,-0.10
5857.00,0.60,-0.28,-0.12
5857.01,0.60,-0.28,-0.15
5857.02,0.60,-0.28,-0.17
5857.03,0.60,-0.27,-0.19
5857.04,0.60,-0.26,-0.20
5857.05,0.60,-0.24,-0.22
5857.06,0.60,-0.23,-0.23
5857.07,0.60,-0.21,-0.24
5857.08,0.60,-0.19,-0.24
5857.09,0.60,-0.16,-0.24
5857.10,0.60,-0.14,-0.24
5857.11,0.60,-0.11,-0.23
5857.12,0.60,-0.07,-0.21
5857.13,0.60,-0.03,-0.19
5857.14,0.60,0.02,-0.17
5857.15,0.60,0.06,-0.15
5857.16,0.60,0.11,-0.12
5857.17,0.60,0.15,-0.09
5857.18,0.60,0.20,-0.06
5857.19,0.60,0.24,-0.03
5857.20,0.60,0.27,0.00
5857.21,0.60,0.30,0.04
5857.22,0.60,0.33,0.07
5857.23,0.60,0.34,0.10
5857.24,0.60,0.35,0.13
5857.25,0.60,0.36,0.16
5857.26,0.60,0.36,0.19
5857.27,0.60,0.35,0.22
5857.28,0.60,0.34,0.25
5857.29,0.60,0.30,0.27
5857.30,0.60,0.29,0.29
5857.31,0.60,0.27,0.31
5857.32,0.60,0.25,0.32
5857.33,0.60,0.22,0.33
5857.34,0.60,0.20,0.33
5857.35,0.60,0.17,0.33
5857.36,0.60,0.13,0.32
5857.37,0.60,0.10,0.30
5857.38,0.60,0.06,0.27
5857.39,0.60,0.02,0.25
5857.40,0.60,0.02,0.19
5857.41,0.60,-0.02,0.15
5857.42,0.60,-0.07,0.14
5857.43,0.60,-0.12,0.10
5857.44,0.60,-0.19,0.06
